id,date,user,text
1558500948,Sun Apr 19 08:34:05 PDT 2009,keza34,@nuttychris couldve shared. 
1559967507,Sun Apr 19 12:30:27 PDT 2009,keza34,@paulpuddifoot stop teasing me.soooooooooo not far! 
1678509366,Sat May 02 06:56:09 PDT 2009,keza34,@saragarth know how you feel.i thought the same when i found out about #ChrisFlu wanted to end it all.  !!x
1686408694,Sun May 03 05:18:06 PDT 2009,keza34,@nuttychris have i upsetyou? 
1694667937,Mon May 04 03:38:28 PDT 2009,keza34,@joshtastic1 you must my sun that i had yesterday.  what you put on bbq?something good i hope.
1694849974,Mon May 04 04:21:33 PDT 2009,keza34,@Jamie_127 if i could i would. 
2058738800,Sat Jun 06 15:32:04 PDT 2009,keza34,Cant believe i got sent to naughty step.first time eva omg 
2069503331,Sun Jun 07 15:59:58 PDT 2009,keza34,@Dojie i know havent broke 200 tweets all day.so not fair  xoxo
1557940300,Sun Apr 19 06:39:32 PDT 2009,keza34,@ComedyQueen what a fibber.dont choke when your halo slips.lol 
1558589838,Sun Apr 19 08:50:04 PDT 2009,keza34,@robangus got to be original with judy garland.but not seen it for ages. 
1559675351,Sun Apr 19 11:45:42 PDT 2009,keza34,@nuttychris i know i tweet you all the time as well.lol 
1563776204,Mon Apr 20 00:12:56 PDT 2009,keza34,@PoisonIvy69 morning.hope you are havin a good day so far. 
1563813772,Mon Apr 20 00:23:13 PDT 2009,keza34,@pob34 white hoodie for me then.lol 
1563850504,Mon Apr 20 00:33:13 PDT 2009,keza34,@pob34 ok then.dont forget dog food if u can. 
1564668746,Mon Apr 20 04:29:12 PDT 2009,keza34,@PoisonIvy69 you will melt. i feel sorry for you then.omg lol 
1564711536,Mon Apr 20 04:38:54 PDT 2009,keza34,All my followers #follow @saragarth &amp; @scottjpage.both need more followers.please help.both cool people and worth following. 
1564881140,Mon Apr 20 05:14:17 PDT 2009,keza34,@TraceyHewins thank you.hope you are gettin more followers as well.lol 
1565045225,Mon Apr 20 05:44:25 PDT 2009,keza34,@paulpuddifoot grass needs cutting.lol  how are you on this fine day?
1565502056,Mon Apr 20 06:54:38 PDT 2009,keza34,@saragarth but like gloves for toes.nice and toastie in winter.mine just happen to be like a rainbow.lol 
1573667810,Tue Apr 21 02:16:06 PDT 2009,keza34,@ab_p stretch marks are proof of a real woman.you want a clone that is perfect get a barbie or blow-up doll.LOL 
1573734826,Tue Apr 21 02:36:16 PDT 2009,keza34,@fudgecrumpet what type of cake ?can i have some.lol 
1677477422,Sat May 02 02:17:04 PDT 2009,keza34,@jacqueline47 http://twitpic.com/4e7ek - what more could a young'un want on a warm day.lol 
1677581432,Sat May 02 02:51:51 PDT 2009,keza34,@gerdaduring ok tweet you later.hope it doesnt take to long 
1677672545,Sat May 02 03:21:24 PDT 2009,keza34,@nuttychris doin this and maybe this and some pot washing and then this then drunk.haha lol 
1677701719,Sat May 02 03:31:07 PDT 2009,keza34,@annwhit chip butties rule.food of the devil but what the hell.LOL 
1677793110,Sat May 02 04:01:13 PDT 2009,keza34,@nuttychris dont think so.might go as spoon.lol 
1677859822,Sat May 02 04:22:19 PDT 2009,keza34,@Dutchrudder nice picliked others as well.yes you are a good boy.lol 
1678088583,Sat May 02 05:26:49 PDT 2009,keza34,@nuttychris what do you think?alcohol and other things (wink wink nudge nudge)lol 
1678111461,Sat May 02 05:32:35 PDT 2009,keza34,@saragarth cant get us by spread of #flu so have to contaminate us instead.EVIL SWINES.LOL 
1678413751,Sat May 02 06:37:44 PDT 2009,keza34,@nuttychris wouldnt know.not my thing.lol 
1679109471,Sat May 02 08:33:26 PDT 2009,keza34,@treasaint she will want feeding shortly and a walk so leaving her in peace.lol 
1679211386,Sat May 02 08:48:30 PDT 2009,keza34,@jacqueline47 hope shes quick about it.lol 
1686352852,Sun May 03 05:02:49 PDT 2009,keza34,@annwhit most certainly will. so hows you this fine day? 
1686391980,Sun May 03 05:13:34 PDT 2009,keza34,@Hapson yes v.naughty.haha glad you stay away from it but sometimes needs to be done.hehe. enjoy footie. 
1686486831,Sun May 03 05:38:28 PDT 2009,keza34,@nuttychris i know they drink more.u need more pubs.lol 
1687097587,Sun May 03 07:45:28 PDT 2009,keza34,@nessie111 course you can @pob34 makes a really good dinner.Lol 
1687126741,Sun May 03 07:50:39 PDT 2009,keza34,@annwhit its the weekend so does it really matter.lol and yes hes been v.good today.think i will forgive him.hehe 
1687153601,Sun May 03 07:55:21 PDT 2009,keza34,@annwhit just finishing vodka.he knows to wash pots coz hes doin last nites now.so defo forgiven.lol 
1687337818,Sun May 03 08:25:44 PDT 2009,keza34,@annwhit rain tomorrow apparently.lol 
1687936193,Sun May 03 09:57:13 PDT 2009,keza34,@jacqueline47 ignore the guilt.really ignore it.lol 
1688115891,Sun May 03 10:22:33 PDT 2009,keza34,@joshtastic1 peachy keen.thanx stop bullying @nuttychris thats @nessie111 &amp; @ComedyQueen job as his twitter sisters.lol haha 
1694420653,Mon May 04 02:32:49 PDT 2009,keza34,@spook68 morning.any plans for today? 
1694440711,Mon May 04 02:38:20 PDT 2009,keza34,@fudgecrumpet ok i believe you.but i have a belly button.lol 
1694458040,Mon May 04 02:43:11 PDT 2009,keza34,@fudgecrumpet saw the deforestation.so not surprised of bad back but @mrsfudgecrumpet moan back at you.lol 
1694475694,Mon May 04 02:48:00 PDT 2009,keza34,"@fudgecrumpet hope it isnt too hot a summer then.hows little one today,being good i hope.lol "
